id;exercise_name;description;source_url;default_minutes;default_bpm_min;default_bpm_max;deactivted;create_date;modify_date;skill_type;exercise
1;uniform PCI back up;Tactics architectures Planner;Facilitator Incredible functionalities;1718;426;135;false;2019-11-02T04:16:33;2019-11-02T11:51:17;READING_MUSIC;SONG
2;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;7291;129;434;true;2019-11-01T18:00:18;2019-11-02T13:57:51;GROOVE;RUDIMENT
3;extend Unbranded Fresh Pants Tools;Practical North Dakota;implementation;1395;272;491;false;2019-11-01T19:47:18;2019-11-02T01:44:34;SPEED;RUDIMENT
4;compress lavender Investment Account;backing up;Iran;4866;350;319;false;2019-11-01T22:29:47;2019-11-02T12:44:12;READING_MUSIC;SONG
5;Chips;navigating;Som Rustic Frozen Keyboard ROI;2158;275;47;true;2019-11-02T11:32:02;2019-11-02T00:04:41;SPEED;SIGHT_READING
6;Organic;Cheese Steel;Wooden Ergonomic Steel Gloves;7700;490;352;false;2019-11-02T04:32:33;2019-11-02T15:30:38;LIVE_PERFORMANCE;SIGHT_READING
7;Generic Frozen Tuna HTTP;implement;Optimization Cambridgeshire;4854;330;342;false;2019-11-02T01:08:32;2019-11-02T14:13:44;ADAPTABILITY;SIGHT_READING
8;Station;parsing Investment Account;Branding Dynamic black;624;108;51;false;2019-11-02T15:29:07;2019-11-02T14:59:15;INDEPENDENCE;SIGHT_READING
9;wireless;hybrid;Solomon Islands Dollar;3135;315;469;true;2019-11-02T14:58:55;2019-11-01T22:16:52;DYNAMICS;PLAYALONG
10;multi-byte Producer;Cotton Robust;user-centric Infrastructure;7726;120;215;true;2019-11-01T21:54:07;2019-11-01T22:09:54;SPEED;SIGHT_READING
