id;excercise_name;description;source_url;default_minutes;default_bpm_min;default_bpm_max;deactivted;create_date;modify_date
1;uniform PCI back up;Tactics architectures Planner;Facilitator Incredible functionalities;1718;426;135;false;2019-10-30T09:57:54;2019-10-30T17:32:37
2;Maryland Configuration;Intranet Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;7897;162;371;true;2019-10-30T04:53:00;2019-10-30T18:19:57
3;array France protocol;open-source HDD;Sleek Beauty Auto Loan Account;1748;325;36;true;2019-10-30T12:05:20;2019-10-30T02:30:46
4;Human;Tools California;North Dakota Garden;4190;78;272;true;2019-10-30T14:44:05;2019-10-30T01:28:38
5;TCP Assimilated;compressing;Brunei Darussalam interface;7451;385;136;false;2019-10-29T22:26:45;2019-10-30T06:39:44
6;Refined Intelligent Granite Shirt;Philippine Peso Metal;Strategist;4647;358;162;false;2019-10-30T02:31:38;2019-10-30T12:02:24
7;content;Gorgeous Electronics Brand;infomediaries Som Rustic Frozen Keyboard;3981;126;120;true;2019-10-30T19:21:31;2019-10-30T04:27:41
8;invoice;invoice;alarm Jamaica;5506;366;210;false;2019-10-30T15:39:58;2019-10-30T08:01:36
9;Cheese Steel;Wooden Ergonomic Steel Gloves;Developer Shoes Music;6871;246;404;false;2019-10-30T13:18:01;2019-10-30T17:27:17
10;systems integrate;Web HTTP;implement;5633;467;252;true;2019-10-30T01:03:22;2019-10-30T08:40:00
